Gravité	Code	Description	Projet	Fichier	Ligne	État de la suppression
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		parameter 2 is const-qualified in the function declaration; const-qualification of parameters only has an effect in function definitions [readability-avoid-const-params-in-decls]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		#includes are not sorted properly [llvm-include-order]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		header guard does not follow preferred style [llvm-header-guard]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		#includes are not sorted properly [llvm-include-order]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		header guard does not follow preferred style [llvm-header-guard]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		parameter 2 is const-qualified in the function declaration; const-qualification of parameters only has an effect in function definitions [readability-avoid-const-params-in-decls]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		parameter 2 is const-qualified in the function declaration; const-qualification of parameters only has an effect in function definitions [readability-avoid-const-params-in-decls]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		#includes are not sorted properly [llvm-include-order]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		header guard does not follow preferred style [llvm-header-guard]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		parameter 2 is const-qualified in the function declaration; const-qualification of parameters only has an effect in function definitions [readability-avoid-const-params-in-decls]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		parameter 2 is const-qualified in the function declaration; const-qualification of parameters only has an effect in function definitions [readability-avoid-const-params-in-decls]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/consensus.hpp		
Avertissement		namespace 'Qolyester' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'address_src' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'route_scope', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'neighbors', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'main_address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'mac_address', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'pending', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'local_address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'tags' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'mac_address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'mac_address', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'mac_address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'sent_bytes', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'name' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		use '= default' to define a trivial default constructor [modernize-use-equals-default]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		use '= default' to define a trivial default constructor [hicpp-use-equals-default]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [google-readability-namespace-comments]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'route_priority', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'mac_address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'net' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'name' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'qolsr' not terminated with a closing comment [llvm-namespace-comment]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		non-const reference parameter 'mids', make it const or use a pointer [google-runtime-references]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		parameter 'mac_address' is unused [misc-unused-parameters]	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
Avertissement		namespace 'Qolyester' starts here	Linux-GCC-Debug-WithGreenSDK	/root/.vs/b4mesh/04888722-7ab6-435b-947b-dca7becdfea8/out/build/Linux-GCC-Debug-WithGreenSDK/sources/core_engine/ressources/generation_output/includes/b4mesh/core_engine/generated/state.hpp		
